job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,folder,epoch_time,num_parameters,train_batch_size,train_optimizer,train_lr,train_lr_scheduler_patience,num_negs_o,num_negs_s,emb_e_dim,emb_regularize,emb_struct_regularize_weight,emb_struct_dropout,emb_r_regularize_weight,emb_r_dropout,tcnn_freeze_word_embeddings,tcnn_dim_feature_map,tcnn_kernel_size_conv,tcnn_kernel_size_max_pool,tcnn_activation,tcnn_regularize,tcnn_regularize_weight,tcnn_dropout,numeric_feature_normalization,numeric_feature_num_layers,numeric_feature_activation,numeric_feature_regularize,numeric_featue_regularize_weight,numeric_feature_dropout,numeric_mlp_normalization,numeric_mlp_num_layers,numeric_mlp_activation,numeric_mlp_regularize,numeric_mlp_regularize_weight,numeric_mlp_dropout,emb_e_regularize,emb_e_regularize_weight,emb_e_dropout,text_weight,numeric_weight,fwt_hits@1,fwt_hits@3,fwt_hits@10,fwt_mrr
0066026a,yago3-10,complex,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.13465679931640626,00000,e9254856,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,15.004343032836914,31544064,4096,Adagrad,0.01749551246378342,0,1,6,256,lp,,,7.449147511742016e-17,-0.4480943791568279,,,,,,,,,,,,,,,,,,,,,lp,7.834351723268766e-16,-0.13448763731867075,,,0.08320000022649765,0.14329999685287476,0.22809998691082,0.13465679931640626
0066026a,yago3-10,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.1736966796875,00001,637b508c,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,16.596212148666382,31544064,4096,Adam,0.3561779782775027,4,10,40,256,,,,2.7079430940935016e-15,-0.19564324989914894,,,,,,,,,,,,,,,,,,,,,,6.534255453560941e-09,0.08403027895838022,,,0.10170000046491623,0.1906999945640564,0.3228999972343445,0.1736966796875
0066026a,yago3-10,complex,0,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.004838280487060547,00003,db4f53cc,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,13.971059083938599,15772032,2048,Adam,0.1260996728646755,4,61,241,128,lp,,,4.040082711888969e-12,-0.3633193513378501,,,,,,,,,,,,,,,,,,,,,lp,0.001303389618047165,0.1580316312611103,,,0.003399999812245369,0.004799999762326479,0.006899999920278788,0.004838280487060547
0066026a,yago3-10,complex,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.10166912231445313,00004,2e144b62,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,17.41066312789917,31544064,4096,Adagrad,0.002307206010199757,0,16,12,256,,,,7.65546561385427e-11,0.3082111431285739,,,,,,,,,,,,,,,,,,,,,,2.977141019542191e-11,-0.4214871767908335,,,0.06560000032186508,0.1030999943614006,0.16300000250339508,0.10166912231445313
0066026a,yago3-10,complex,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.07376206665039063,00002,6ae11c1a,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,12.320777893066406,15772032,2048,Adagrad,0.0008720130355068779,4,26,2,128,lp,,,1.753840867521554e-06,0.1325873639434576,,,,,,,,,,,,,,,,,,,,,lp,2.815229478430427e-20,-0.33620200026780367,,,0.049799997359514236,0.07449999451637268,0.11389999836683273,0.07376206665039063
0066026a,yago3-10,complex,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.2884628173828125,00005,6596dc94,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,14.922171354293823,31544064,4096,Adam,0.0008102365201032017,2,3,80,256,lp,,,0.026402573861793992,0.05574141722172499,,,,,,,,,,,,,,,,,,,,,lp,9.514939162148293e-09,0.35950275510549545,,,0.18389999866485596,0.3263999819755554,0.5026999711990356,0.2884628173828125
0066026a,yago3-10,complex,0,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.03858701171875,00007,c8427ca5,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,19.37442183494568,15772032,2048,Adam,0.0019023869926538394,0,5,10,128,lp,,,4.3019644674343174e-05,-0.13730736542493105,,,,,,,,,,,,,,,,,,,,,lp,0.06189978462441582,-0.022199777886271477,,,0.02850000001490116,0.038100000470876694,0.053999997675418854,0.03858701171875
0066026a,yago3-10,complex,0,search,negative_sampling,valid,295,,,,mean_reciprocal_rank_filtered_with_test,0.4032998291015625,00006,23496681,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,21.564610481262207,15772032,2048,Adagrad,0.38175892418771107,0,394,3,128,,,,1.2814600009230366e-19,-0.11574567016214132,,,,,,,,,,,,,,,,,,,,,,1.5231804522547583e-16,-0.12344413064420223,,,0.3190000057220459,0.44679999351501465,0.5676000118255615,0.4032998291015625
0066026a,yago3-10,complex,0,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.1310163818359375,00009,7486622c,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,16.999789476394653,31544064,4096,Adam,0.04168484084500732,2,90,1,256,lp,,,4.310000773151594e-14,0.43899522069841623,,,,,,,,,,,,,,,,,,,,,lp,7.326603327655784e-07,-0.4446182120591402,,,0.0794999971985817,0.14010000228881836,0.2272000014781952,0.1310163818359375
0066026a,yago3-10,complex,0,search,negative_sampling,valid,170,,,,mean_reciprocal_rank_filtered_with_test,0.441332275390625,00008,7c4d5f37,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,13.94992995262146,31544064,4096,Adagrad,0.15203864479239684,2,271,206,256,,,,5.108084981034558e-18,0.19046023581176996,,,,,,,,,,,,,,,,,,,,,,2.6677778684473284e-13,0.2743638604879379,,,0.34849998354911804,0.4836999773979187,0.6273999810218811,0.441332275390625
